,0,1,cluster
0,-19.306234,10.467569,45
1,52.509712,-6.5060115,47
2,-19.648756,-24.174335,48
3,-0.0005404949,40.880817,10
4,18.546326,-36.288227,6
5,-60.122307,25.004704,3
6,46.909412,35.901203,16
7,-45.79542,-25.215471,2
8,24.405085,28.805033,20
9,-34.49354,43.709846,49
10,24.151081,-1.0980392,18
11,10.315724,-61.72809,1
12,-41.245594,14.881874,50
13,-29.149158,-50.364365,51
14,45.741364,-18.590393,5
15,-3.0190198,-39.5272,1
16,1.8415117,9.18341,4
17,17.18123,65.31733,27
18,56.6704,19.630392,16
19,3.9622424,-10.707237,4
20,64.54617,-11.639826,52
21,-48.972923,-2.3466897,13
22,-22.23443,-2.3514836,8
23,34.511047,45.15021,11
24,-17.75401,53.011967,53
25,39.91668,-49.784286,6
26,-7.28517,21.040567,4
27,45.412075,16.42502,54
28,-37.767933,-32.31096,2
29,40.873123,-27.590435,5
30,39.500843,-4.205175,5
31,-2.8098683,-48.724102,1
32,13.25759,48.314606,19
33,-62.237305,-17.972425,30
34,12.343546,-20.960157,6
35,-40.855305,22.080233,3
36,-37.829643,-13.704353,2
37,-11.103045,-14.908086,1
38,18.315063,7.011766,63
39,60.854836,5.218417,62
40,-50.32755,49.455906,15
41,4.879144,29.67069,4
42,-34.42771,18.25033,3
43,33.038296,-10.563458,22
44,34.995842,-36.229145,6
45,-7.8984118,36.891342,10
46,58.79861,-22.49617,5
47,-40.13486,5.281328,7
48,-5.560124,-28.823986,1
49,-45.80523,-42.915157,2
50,-23.36093,-12.620703,8
51,52.808895,55.68709,11
52,-25.132263,48.386967,28
53,33.32275,21.339798,56
54,28.512371,-59.174126,1
55,2.7683377,18.727665,4
56,-31.29021,7.9080157,7
57,23.85344,14.748324,12
58,64.58333,31.106926,16
59,-1.5390745,-55.439312,1
60,54.237514,-33.84993,21
61,-50.15868,31.295403,3
62,27.886585,63.08811,27
63,53.232353,40.58819,16
64,-5.027912,48.23141,10
65,-31.565424,-24.125439,2
66,-13.938604,-34.314793,17
67,-55.27448,-36.513123,2
68,-73.44584,17.659971,3
69,-58.886097,5.020913,13
70,41.084785,3.2454128,5
71,-8.326238,9.672665,4
72,25.927345,-25.027176,6
73,18.901434,-50.970093,1
74,-16.38475,-0.8188609,8
75,68.508606,0.13470057,14
76,-29.065086,21.716116,3
77,-45.9459,47.387466,15
78,-54.56019,-27.323715,57
79,-32.055878,-38.16473,2
80,16.57068,24.917856,58
81,8.420714,-5.847841,59
82,2.4140747,53.453213,10
83,-17.185335,31.99326,10
84,27.64002,-36.893047,6
85,-38.864014,30.826368,66
86,-50.999203,20.573229,3
87,65.69836,13.658339,14
88,40.484974,40.321407,11
89,-29.162752,-3.8372264,7
90,61.023106,43.672108,16
91,5.8215113,-50.576973,1
92,17.886782,-65.01021,1
93,-56.19118,-22.736418,67
94,53.736507,2.2311196,9
95,-6.63842,3.2946892,4
96,-15.022353,-19.061962,60
97,0.8126412,-0.38900483,4
98,16.372019,-10.368003,18
99,-5.5516706,29.094568,10
100,33.929234,10.4820795,55
101,-56.762814,-10.286726,30
102,-34.150116,-43.751984,2
103,38.359486,-20.49484,5
104,-0.0060744286,-31.228716,1
105,-46.451496,-33.756275,46
106,59.397366,-17.322405,5
107,27.155237,42.805046,36
108,6.0521226,-18.352797,24
109,17.613724,-31.850979,6
110,18.828148,41.261192,25
111,51.214256,-21.285295,5
112,-30.144299,52.7076,68
113,-40.544254,54.00126,34
114,47.38479,-11.875216,5
115,60.9233,-1.06003,14
116,-24.184649,13.794608,7
117,48.743378,-40.42827,21
118,41.202118,24.944353,9
119,1.7184677,33.535217,10
120,74.53854,19.005854,14
121,-19.558939,-30.349968,17
122,-19.679615,-53.02543,26
123,-10.74263,-45.935165,1
124,30.036877,27.482231,20
125,-50.485294,14.871909,13
126,-42.385284,-2.852526,35
127,-59.55973,-2.2592165,13
128,55.66336,13.158128,9
129,18.512909,0.32089394,65
130,-69.21803,23.141302,3
131,18.134737,-26.51422,6
132,27.76315,3.9338012,12
133,-23.5693,7.6411724,7
134,7.7978573,3.1958363,4
135,-19.387167,45.60544,31
136,37.212257,50.05754,11
137,-52.14868,6.50891,13
138,-49.0049,-16.976954,2
139,34.241375,-28.428127,6
140,23.388943,-19.840097,6
141,16.209047,31.055597,32
142,-38.28445,-20.280855,2
143,7.2933927,-45.874165,1
144,14.230806,53.37071,19
145,32.510162,55.06986,11
146,-7.302398,-26.452745,1
147,-12.463095,24.821138,37
148,-40.88715,-10.933363,2
149,44.704895,6.3231945,9
150,25.670593,-31.816235,6
151,-1.0962377,28.447496,61
152,46.11957,50.265163,11
153,-11.953777,55.456078,29
154,45.767715,-1.1907789,5
155,-3.5541883,15.853766,4
156,65.1695,-29.294302,5
157,-39.563046,-38.151085,2
158,2.9790244,-57.891052,1
159,-3.6985009,-22.406923,1
160,49.255096,-26.956697,42
161,-42.748062,40.583626,15
162,8.777557,-15.301146,43
163,-17.77488,-6.292704,8
164,44.04976,61.58113,11
165,-52.38092,25.24561,3
166,-28.26074,-12.49475,8
167,-22.848646,55.11071,53
168,10.118886,65.04561,27
169,-13.90773,-9.673521,8
170,-37.118603,27.867285,3
171,66.83382,-17.8708,52
172,57.798702,-14.542611,5
173,-36.149635,12.5213995,7
174,24.607027,-43.65203,6
175,-66.4079,24.8294,3
176,72.23751,-4.8828835,14
177,33.983864,-0.2776478,5
178,24.86291,36.536293,25
179,28.617405,-10.862305,22
180,-40.587223,-45.49753,2
181,25.240063,53.22392,36
182,43.498756,14.572572,9
183,-28.698969,-31.557787,2
184,15.126728,-44.32364,1
185,-26.670029,-45.871555,26
186,24.064644,-7.289207,18
187,15.011919,6.933957,12
